Week,Date,Topic,Handouts,Readings,HW
Week 1,11-Jan,Course Introduction,"<a href=""../knitr/Lec-1-Intro/intro.pdf"">slides</a>  ","Read  ISL <a href=""http://search.library.duke.edu/search?id=DUKE005921677""> Chapters 1</a>","Install <a href=""https://www.rstudio.com/products/rstudio/download3/"">Rstudio</a> and start CodeSchool's<a href=""https://www.codeschool.com/courses/try-r"">Try R</a>"
,13-Jan,Lab1: RStudio & Github,"<a href=""http://www2.stat.duke.edu/~cr173/Sta523_Fa16/git.html"">git & github</a> and <a href=""https://www.youtube.com/watch?v=Pqp2k4oDktw""> werker </a>","<a href=""https://www.atlassian.com/git/tutorials/comparing-workflows/centralized-workflow/""> Centralized WorkFlow with Git""</a>  <a href=""https://try.github.io/""> Try git</a> ",
Week 2,16-Jan,,"<span style=""color:gray"">No class - MLK Day",,
,18-Jan,Modelling Overvies and Review of Regression,"<a href=""../knitr/Lec-2-models/Models.pdf"">slides</a>  (<a href=""../knitr/Lec-2-models/Models.Rmd"">Rmarkdown</a> )","Read  ISL <a href=""http://search.library.duke.edu/search?id=DUKE005921677""> Chapters 2</a>","<a href=""../hw/HW1.pdf""> HW1</a>   "
,20-Jan,Lab2: Rmarkdown & Regression,,,
Week 3,23-Jan,Regression,,,
,25-Jan,Diagnostics,,,
Week 4,30-Jan,Transformations,,,
,1-Feb,Model Selection I,,,
Week 5,6-Feb,Bayesian Regression,,,
,8-Feb,Hierarchical Models,,,
Week 6,13-Feb,Predictive Checking,,,
,15-Feb,BMA,,,
Week 7,20-Feb,,,,
,22-Feb,Midterm I,,,
Week 8,27-Feb,,,,
,1-Mar,,,,
Week 9,6-Mar,,,,
,8-Mar,,,,
Week 10,13-Mar,,"<span style=""color:gray"">No class - Spring Break",,
Week 11,20-Mar,,,,
,22-Mar,,,,
Week 12,27-Mar,,,,
,29-Mar,,,,
Week 13,3-Apr,,,,
,5-Apr,Midterm II,,,
Week 14,10-Apr,,,,
,12-Apr,,,,
Week 15,17-Apr,,,,
,18-Apr,,,,
,24-Apr,"<span style=""color:gray"">Graduate Reading Period",,,
Final Presentations,1-May,<b>Presentations 9- 12 pm</b>,Old Chem 116,,
